name,sg_price,jb_price,sg_url,jb_url
PANTENE Total Damage Care Shampoo 680ml,S$11.90,RM19.74,https://www.watsons.com.sg/pantene-total-damage-care-shampoo-680ml/p/BP_93101,https://www.watsons.com.my/pantene-total-damage-care-shampoo-680ml/p/BP_1011387
NEUTROGENA Visible Repair Eye Cream 15g,S$54.40,RM76.93,https://www.watsons.com.sg/neutrogena-visible-repair-eye-cream-15g/p/BP_41178,https://www.watsons.com.my/neutrogena-visible-repair-eye-cream-15g/p/BP_1008051
NEUTROGENA Visible Repair Regenerating Cream 50g,S$54.40,RM76.93,https://www.watsons.com.sg/neutrogena-visible-repair-regenerating-cream-50g/p/BP_41173,https://www.watsons.com.my/neutrogena-visible-repair-regenerating-cream-50g/p/BP_1008050
NEUTROGENA Visible Repair Night Moisturizer 30ml,S$54.40,RM58.03,https://www.watsons.com.sg/neutrogena-visible-repair-night-moisturizer-30ml/p/BP_41174,https://www.watsons.com.my/neutrogena-visible-repair-night-moisturizer-30ml/p/BP_1008043
COSRX Advanced Snail 92 All In One Cream 100ml,$38,RM84.64,https://www.watsons.com.sg/cosrx-advanced-snail-92-all-in-one-cream-100ml/p/BP_81787,https://www.watsons.com.my/cosrx-advanced-snail-92-all-in-one-cream-100ml/p/BP_26582
COSRX Full Fit Propolis Synergy Toner 150ml,$38,RM68.40,https://www.watsons.com.sg/cosrx-full-fit-propolis-synergy-toner-150ml/p/BP_49662,https://www.watsons.com.my/cosrx-full-fit-propolis-synergy-toner-150ml/p/BP_61510
HADA LABO Pore Refining Micellar Cleansing Water 300ml,$38,RM34.93,https://www.watsons.com.sg/hada-labo-pore-refining-micellar-cleansing-water-300ml/p/BP_80431,https://www.watsons.com.my/hada-labo-pore-refining-micellar-cleansing-water-300ml/p/BP_1000590
GARNIER Bright Complete Booster Serum 15ml,S$15.05,RM21.52,https://www.watsons.com.sg/garnier-bright-complete-booster-serum-15ml/p/BP_31381,https://www.watsons.com.my/garnier-bright-complete-booster-serum-15ml/p/BP_1010370
GARNIER Bright Complete Overnight Serum 15ml,$38,RM25.52,https://www.watsons.com.sg/garnier-bright-complete-overnight-serum-15ml/p/BP_57424,https://www.watsons.com.my/garnier-bright-complete-overnight-serum-15ml/p/BP_1008681
KAMINOMOTO Scalp Care Shampoo 300ml,$38,RM58.14,https://www.watsons.com.sg/kaminomoto-scalp-care-shampoo-300ml/p/BP_48566,https://www.watsons.com.my/kaminomoto-scalp-care-shampoo-300ml/p/BP_1022866
HIMALAYA Intensive Moisturizing Cream 50ml,S$5.20,RM17.12,https://www.watsons.com.sg/himalaya-intensive-moisturizing-cream-50ml/p/BP_96939,https://www.watsons.com.my/himalaya-intensive-moisturizing-cream-50ml/p/BP_77164
TRESEMME Lamellar Gloss Serum 100ml,S$15.10,RM50.90,https://www.watsons.com.sg/tresemme-lamellar-gloss-serum-100ml/p/BP_81127,https://www.watsons.com.my/tresemme-lamellar-gloss-serum-100ml/p/BP_1017548
PANTENE Hairfall Control Shampoo 680ml,S$11.90,RM19.60,https://www.watsons.com.sg/pantene-hairfall-control-shampoo-680ml/p/BP_93046,https://www.watsons.com.my/pantene-hair-fall-control-shampoo-680ml/p/BP_28872
PANTENE Anti-Dandruff Shampoo 680ml,S$11.90,RM14.34,https://www.watsons.com.sg/pantene-anti-dandruff-shampoo-680ml/p/BP_92963,https://www.watsons.com.my/pantene-shampoo-anti-dandruff-480ml/p/BP_36628
PANTENE3 Minute Miracle Supplement Conditioner Keratin Silky Smooth 300ml,S$9.50,RM6,https://www.watsons.com.sg/pantene-3-minute-miracle-supplement-conditioner-keratin-silky-smooth-300ml/p/BP_51043,https://www.watsons.com.my/pantene-3-minute-miracles-conditioner-150ml-keratin-smooth/p/BP_43793
GILLETTE Mach3+ Razor 2Up,$38,RM24.44,https://www.watsons.com.sg/gillette-mach3-razor-2up/p/BP_65509,https://www.watsons.com.my/gillette-mach3-razor-2-up/p/BP_61516
GILLETTE Fusion ProGlide Cooling Shave Prep 195g,S$11.90,RM25.56,https://www.watsons.com.sg/gillette-fusion-proglide-cooling-shave-prep-195g/p/BP_90260,https://www.watsons.com.my/gillette-fusion-proglide-gel-shave-cooling-195g/p/BP_1021743
GILLETTE Labs Razor Blade Cartridge Refills 12s,$38,RM103.83,https://www.watsons.com.sg/gillette-labs-razor-blade-cartridge-refills-12s/p/BP_28751,https://www.watsons.com.my/gillette-labs-cartridges-refills-4s/p/BP_1015211
GILLETTE Fusion ProGlide Power 3-in-1 Styler Razor,$38,RM38.35,https://www.watsons.com.sg/gillette-fusion-proglide-power-3-in-1-styler-razor/p/BP_90257,https://www.watsons.com.my/gillette-fusion5-proglide-power-razor-1s/p/BP_98938
GILLETTE Labs Razor Cartridge with Exfoliating Bar Refill 8s,S$42.70,RM69.30,https://www.watsons.com.sg/gillette-labs-razor-cartridge-with-exfoliating-bar-refill-8s/p/BP_34130,https://www.watsons.com.my/gillette-labs-razor-with-exfoliating-bar-1s/p/BP_1015210
NEUTROGENA Ultra Sheer Dry Touch Sunscreen SPF50+ PA+++ 88ml,S$25.00,RM38.08,https://www.watsons.com.sg/neutrogena-ultra-sheer-dry-touch-sunscreen-spf50-pa-88ml/p/BP_91664,https://www.watsons.com.my/neutrogena-neutrogena%C2%AE-ultra-sheer-dry-touch-sunscreen-spf50-pa-88ml/p/BP_62137
NEUTROGENA Visible Repair Serum (Retinol + Antioxidant + Comfort Complex) 30ml,S$54.40,RM76.93,https://www.watsons.com.sg/neutrogena-visible-repair-serum-retinol-antioxidant-comfort-complex-30ml/p/BP_55500,https://www.watsons.com.my/neutrogena-visible-repair-serum-30ml/p/BP_1008044
NEUTROGENA Hydro Boost Hyaluronic Acid Water Gel Refill 50g,S$17.81,RM18.20,https://www.watsons.com.sg/neutrogena-hydro-boost-hyaluronic-acid-water-gel-refill-50g/p/BP_33636,https://www.watsons.com.my/neutrogena-hydro-boost-hyaluronic-acid-water-gel-15g/p/BP_49421
NEUTROGENA Deep Clean Cleansing Lotion (Removes All Types Of Make-Up Even Accumulated Skin Impurities) 200ml,S$15.05,RM31.84,https://www.watsons.com.sg/neutrogena-deep-clean-cleansing-lotion-removes-all-types-of-make-up-even-accumulated-skin-impurities-200ml/p/BP_47669,https://www.watsons.com.my/neutrogena-deep-clean-cleansing-lotion-200ml/p/BP_72192
NEUTROGENA Hydro Boost Activating Essence Lotion (For Dry & Sensitive Skin) 150ml,S$20.93,RM58.03,https://www.watsons.com.sg/neutrogena-hydro-boost-activating-essence-lotion-for-dry-sensitive-skin-150ml/p/BP_63386,https://www.watsons.com.my/neutrogena-neutrogena%C2%AE-hydro-boost-activating-essence-lotion-150ml/p/BP_1005022
NEUTROGENA Hydro Boost 3D Sleeping Mask (For Dry & Sensitive Skin) 50g,S$33.90,RM60.72,https://www.watsons.com.sg/neutrogena-hydro-boost-3d-sleeping-mask-for-dry-sensitive-skin-50g/p/BP_25000,https://www.watsons.com.my/neutrogena-hydro-boost-hydrating-mask-5-s/p/BP_21216
NEUTROGENA Hydro Boost Niacinamide Serum 30ml,S$25.83,RM67.83,https://www.watsons.com.sg/neutrogena-hydro-boost-niacinamide-serum-30ml/p/BP_52500,https://www.watsons.com.my/neutrogena-hydro-boost-niacinamide-serum-30ml/p/BP_1030862
NEUTROGENA Hydro Boost Water Gel Facial Cleanser (For Dry & Sensitive Skin) 145ml,S$12.53,RM36.12,https://www.watsons.com.sg/neutrogena-hydro-boost-water-gel-facial-cleanser-for-dry-sensitive-skin-145ml/p/BP_86197,https://www.watsons.com.my/neutrogena-neutrogena-hydro-boost-water-gel-cleanser-145ml/p/BP_98186
NEUTROGENA Ultra Sheer Fluid Sunscreen Age Shield SPF 50 PA++++ 40ml,$38,RM48.30,https://www.watsons.com.sg/neutrogena-ultra-sheer-fluid-sunscreen-age-shield-spf-50-pa-40ml/p/BP_94738,https://www.watsons.com.my/neutrogena-ultra-sheer-fluid-sunscreen-age-shield-spf50-pa-40ml/p/BP_1030881
NEUTROGENA Hydro Boost Hydrating Fluid SPF50 50ml,S$23.73,RM68.53,https://www.watsons.com.sg/neutrogena-hydro-boost-hydrating-fluid-spf50-50ml/p/BP_78139,https://www.watsons.com.my/neutrogena-hydrating-fluid-spf-50-50ml/p/BP_1016165
NEUTROGENA Deep Clean Gentle Foaming Cleanser (For All Skin Types) 100g,S$8.40,RM19.12,https://www.watsons.com.sg/neutrogena-deep-clean-gentle-foaming-cleanser-for-all-skin-types-100g/p/BP_47668,https://www.watsons.com.my/neutrogena-deep-clean-foaming-cleanser100g/p/BP_41270
NEUTROGENA Deep Clean Brightening Foaming Cleanser (For Dull Skin)100g,S$8.40,RM23.92,https://www.watsons.com.sg/neutrogena-deep-clean-brightening-foaming-cleanser-for-dull-skin-100g/p/BP_65062,https://www.watsons.com.my/neutrogena-deep-clean-brightening-foaming-cleanser-100g/p/BP_92328
BLACKMORES Multivitamin + Mineral Tablets 120s,S$43.47,RM63.70,https://www.watsons.com.sg/blackmores-multivitamin-mineral-tablets-120s/p/BP_24002,https://www.watsons.com.my/blackmores-multivitamins-minerals-60-s/p/BP_20384
"BLACKMORES Collagen 10,000mg 60ml x 10s (Expiry: Mar`2027)",S$33.00,RM119.90,https://www.watsons.com.sg/blackmores-collagen-10-000mg-60ml-x-10s-expiry-mar-2027/p/BP_89913,https://www.watsons.com.my/blackmores-collagen-10000mg-60mlx10s/p/BP_84939
BLACKMORES Bio C® 1000mg Tablets 120s,S$42.42,RM36.50,https://www.watsons.com.sg/blackmores-bio-c%C2%AE-1000mg-tablets-120s/p/BP_37511,https://www.watsons.com.my/blackmores-bio-c-1000mg-30-s/p/BP_27121
BLACKMORES Celery 7000mg Capsules 60s,S$23.13,RM60.90,https://www.watsons.com.sg/blackmores-celery-7000mg-capsules-60s/p/BP_24000,https://www.watsons.com.my/blackmores-celery-7000mg-60s/p/BP_27703
BLACKMORES Bio Magnesium Tablets 90s,S$28.02,RM38.90,https://www.watsons.com.sg/blackmores-bio-magnesium-tablets-90s/p/BP_20829,https://www.watsons.com.my/blackmores-bio-magnesium-plus-60-s/p/BP_70766
ORAL-BEssential Clean Dental Floss 50m x 2s,S$10.70,RM8.90,https://www.watsons.com.sg/oral-b-essential-clean-dental-floss-50m-x-2s/p/BP_44253,https://www.watsons.com.my/oral-b-essential-waxed-dental-floss-50m/p/BP_20212
